Type,Date,Label,Quantity,Value,Source,Destination,Category,Icon,Color,Periodicity,EndDate,IsSaving,IsInvestment,Nature,IsPassive,Entity
ENTITY,,"Mao",,,,,,,,,,,,"PRIVATE",,
ENTITY,,"CORNSEED",,,,,,,,,,,,"SMALL_BUSINESS",,
ENTITY,,"Fri",,,,,,,,,,,,"PRIVATE",,
ENTITY,,"HOUSEHOLD",,,,,,,,,,,,"PRIVATE",,
ACCOUNT,2025-12-31,"CBC_CORNSEED",,105099.13,,,,,,,,0,0,,,"CORNSEED"
ACCOUNT,2025-12-31,"CBC_MAO",,0,,,,,,,,0,0,,,"Mao"
ACCOUNT,2025-12-31,"BEL_MAO",,0,,,,,,,,0,0,,,"Mao"
ACCOUNT,2025-12-31,"BEL_FRI",,0,,,,,,,,0,0,,,"Fri"
ACCOUNT,2025-12-31,"1_10EME_Mao",,1859.87,,,,,,,,1,0,,,"Mao"
ACCOUNT,2025-12-31,"1_10EME_Fri",,19636.68 ,,,,,,,,1,0,,,"Fri"
ACCOUNT,2025-12-31,"Aos(EP)" ,,8700,,,,,,,,1,0,,,"HOUSEHOLD"
ACCOUNT,2025-12-31,"Enih(EP)",,7673.87,,,,,,,,1,0,,,"HOUSEHOLD"
ACCOUNT,2025-12-31,"Ael(EP)" ,,6207.45,,,,,,,,1,0,,,"HOUSEHOLD"
ACCOUNT,2025-12-31,"BEL_DEPENSE_NON_COURANTE",,7351.42,,,,,,,,0,0,,,"HOUSEHOLD"
ACCOUNT,2025-12-31,"BEL_RESERVE_SANTE_CRECHE",,2595.93,,,,,,,,0,0,,,"HOUSEHOLD"
ACCOUNT,2026-12-31,"ETF_Enfants",,0,,,,,,,,0,1,,,"HOUSEHOLD"
CATEGORY,,"Charges différées",,,,,,"fa-tag","#14b8a6",,,,,"QUOTIDIEN",0,
CATEGORY,,"Bien être programmé",,,,,,"fa-gamepad","#3b82f6",,,,,"LOISIR",0,
CATEGORY,,"Discrétionnaire",,,,,,"fa-tag","#14b8a6",,,,,"LOISIR",0,
CATEGORY,,"Revenu",,,,,,"fa-coins","#10b981",,,,,"REVENU",0,
CATEGORY,,"Assurance",,,,,,"fa-shield-halved","#6366f1",,,,,"FIXE",0,
CATEGORY,,"Dépenses Variables",,,,,,"fa-bolt","#10b981",,,,,"QUOTIDIEN",0,
CATEGORY,,"Saving",,,,,,"fa-piggy-bank","#14b8a6",,,,,"EPARGNE",0,
CATEGORY,,"Dépenses fixes",,,,,,"fa-cart-shopping","#10b981",,,,,"FIXE",0,
CATEGORY,,"Dépenses variables",,,,,,"fa-bolt","#10b981",,,,,"QUOTIDIEN",0,
CATEGORY,,"Divers et hors budgets",,,,,,"fa-wallet","#f43f5e",,,,,"EPARGNE",0,
RECURRING_TEMPLATE,2026-01-01,"Salary",,3000,"external","CBC_MAO","Revenu",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Salary",,1900,"external","BEL_FRI","Revenu",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Allowances (kidsLife)",,594,"external","CBC_MAO","Revenu",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"1-10th - Mao (EP)",,300,"BEL_MAO","1_10EME_Mao","Revenu",,,M,,,,,,
RECURRING_TEMPLATE,2026-02-01,"ETF (Enfants)",,150,"CBC_MAO","ETF_Enfants","Revenu",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"1-10th - Fri (EP)",,300,"BEL_FRI","1_10EME_Fri","Revenu",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Aos (EP)",,100,"BEL_FRI","Aos(EP)","",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Enih (EP)",,100,"BEL_FRI","Enih(EP)","",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Ael (EP)",,100,"BEL_FRI","Ael(EP)","",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"CBC La Louvière",,1152,"CBC_MAO","external","Dépenses fixes",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Assurance Solde Restant dû",,63,"CBC_MAO","external","Dépenses fixes",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Dette 30K",,478,"CBC_MAO","external","Dépenses fixes",,,M,2026-01-31,,,,,
RECURRING_TEMPLATE,2026-05-01,"Dette 17K",,205.18,"CBC_MAO","external","Dépenses fixes",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Engie",,380,"CBC_MAO","external","Dépenses fixes",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Swde",,237,"CBC_MAO","external","Dépenses fixes",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Alimentation (via KeyTrade)",,416,"CBC_MAO","external","Dépenses fixes",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Hygiène (Via Bel_Fri)",,275,"CBC_MAO","external","Dépenses fixes",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Proximus",,52,"CBC_MAO","external","Dépenses fixes",,,M,2026-03-30,,,,,
RECURRING_TEMPLATE,2026-01-01,"Frais Bancaire BELFIUS",,6,"BEL_MAO","external","Dépenses fixes",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Argent de poche",,60,"CBC_MAO","external","Dépenses fixes",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Croix Rouges",,275,"CBC_MAO","external","Dépenses fixes",,,M,2026-02-28,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provision Mutualia -  Santé",,15,"BEL_MAO","BEL_DEPENSE_NON_COURANTE","Charges différées",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provision Assurance CBC - habitation / Familiale",,65,"BEL_MAO","BEL_DEPENSE_NON_COURANTE","Charges différées",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provison Revenu Cadastrale",,125,"BEL_MAO","BEL_DEPENSE_NON_COURANTE","Charges différées",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provision Taxes Communales",,25,"BEL_MAO","BEL_DEPENSE_NON_COURANTE","Charges différées",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provision EP PENSION",,90,"BEL_MAO","BEL_DEPENSE_NON_COURANTE","Charges différées",,,M,,,,,,
RECURRING_TEMPLATE,2026-04-01,"Provison Petites Vacances & weekend",,25,"BEL_MAO","BEL_DEPENSE_NON_COURANTE","Bien être programmé",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Provision Aide et Soutien familial",,75,"CBC_MAO","external","Discrétionnaire",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"LDD (lili)",,100,"CBC_MAO","external","Discrétionnaire",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Frais divers (prixtel, ...)",,10,"CBC_MAO","external","Discrétionnaire",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Frais Formation",,15,"BEL_FRI","external","Dépenses fixes",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Frais Bancaire BELFIUS",,10,"BEL_FRI","external","Dépenses fixes",,,M,,,,,,
RECURRING_TEMPLATE,2026-01-01,"Argent de poche",,200,"BEL_FRI","external","Dépenses fixes",,,M,,,,,,
