date,label,amount,source,destination,reccuring,endate,periodicity,category
2026-01-01,"Alimentation",400,Compte Principal (CBC),,1,2027-01-01,M, Alimentation
2026-01-01,"Salaire",3000,,Compte Principal (CBC),1,2027-01-01,M,1-Revenu
2026-01-01,"Allocation",594,,Belfius (Mao),1,2027-01-01,M,1-Revenu
2026-01-02,"Ep_1_10eme_Mao",300,Compte Principal (CBC),1_10eme_Mao (ep),1,2026-02-01,M,2-Épargne
2026-02-01,"c_etf_enfants",150,Compte Principal (CBC),etf_enfant(ep),1,2026-02-01,M,2-Épargne
2026-01-01,"Ep_1_10eme_Mao",50,Compte Principal (CBC),1_10eme_Mao (ep),0,,,2-Épargne
2026-01-01,"Assurance Solde Restant dû",63,Compte Principal (CBC),,1,2027-01-01,M,3-Assurance
2026-01-01,"RP La Louvière",1152,Compte Principal (CBC),,1,2027-01-01,M,3-Logement
2026-01-01,"Engie (Electricité)",380,Compte Principal (CBC),,1,2027-01-01,M,4-Charge diverse
2026-01-01,"Swde (eau)",238,Compte Principal (CBC),,1,2027-01-01,M,4-Charge diverse
2026-01-01,"Hygiène",275,Compte Principal (CBC),,1,2027-01-01,M,4-Charge diverse
2026-01-01,"Proximus",52,Compte Principal (CBC),,1,2027-01-01,M,4-Charge diverse
2026-01-01,"Frais Bancaire BELFIUS",6,Belfius (Mao),,1,2027-01-01,M,4-Charge diverse
2026-01-01,"Argent de poche",60,Compte Principal (CBC),,1,2027-01-01,M,4-Charge diverse
2026-01-01,"Frais divers (prixtel, ...)",10,Compte Principal (CBC),,1,2027-01-01,M,4-Charge diverse
2026-01-01,"Provision Mutualia -  Santé",15,Compte Principal (CBC),Depense_Non_Courante(Provision),1,2027-01-01,M,5-Provision
2026-01-01,"Provision Assurance CBC - habitation / Familiale",65,Compte Principal (CBC),Depense_Non_Courante(Provision),1,2027-01-01,M,5-Provision
2026-01-01,Provision Revenu Cadastrale,125,Compte Principal (CBC),Depense_Non_Courante(Provision),1,2027-01-01,M,5-Provision
2026-01-01,Provision Taxes Communales,25,Compte Principal (CBC),Depense_Non_Courante(Provision),1,2027-01-01,M,5-Provision
2026-01-01,Provision EP PENSION,90,Compte Principal (CBC),Depense_Non_Courante(Provision),1,2027-01-01,M,5-Provision
2026-01-01,Provision Daddy,100,Belfius (Fri), Frial_Cash(Provision),1,2027-01-01,M,5-Provision
2026-01-01,"Provison Tema",30,Belfius (Fri), Frial_Cash(Provision),1,2027-01-01,M,5-Provision
2026-01-01,"Provision Hygiène-Tresse",50,Belfius (Fri), Frial_Cash(Provision),1,2027-01-01,M,5-Provision
2026-01-01,"Croix Rouges",14,Compte Principal (CBC),,1,2027-01-01,M,6-Dons & Aides
2026-01-01,"Aide et Soutien familial",75,Compte Principal (CBC),,1,2027-01-01,M,6-Dons & Aides
2026-01-01,"LDD (lili)",100,Compte Principal (CBC),,1,2027-01-01,M,6-Dons & Aides
2026-01-01,"Dette 30K",478,Compte Principal (CBC),,1,2026-03-02,M,4-Charge diverse
