Type,Date,Label,Value,Source,Destination,Category,Icon,Color,Periodicity,EndDate,IsSaving
ACCOUNT,2025-12-31,"1_10eme_Fri (ep)",0,,,,,,1
ACCOUNT,2025-12-31,"1_10eme_Mao (ep)",0,,,,,,1
ACCOUNT,2025-12-31,"Ael(ep)",0,,,,,,1
ACCOUNT,2025-12-31,"Aos(ep)",0,,,,,,1
ACCOUNT,2025-12-31,"Belfius (Fri)",0,,,,,,0
ACCOUNT,2025-12-31,"Belfius (Mao)",0,,,,,,0
ACCOUNT,2025-12-31,"Compte Principal (CBC)",0,,,,,,0
ACCOUNT,2025-12-31,"Depense_Non_Courante(Provision)",0,,,,,,1
ACCOUNT,2025-12-31,"Enih(ep)",0,,,,,,1
ACCOUNT,2025-12-31,"etf_enfant(ep)",0,,,,,,0
ACCOUNT,2025-12-31,"Frial_Cash(Provision)",0,,,,,,0
ACCOUNT,2025-12-31,"Reserve_Sante_Creche(Provision)",0,,,,,,1
CATEGORY,,"1-Revenu",,,,,"fa-coins","#f43f5e",,,
CATEGORY,,"2-Épargne",,,,,"fa-piggy-bank","#f59e0b",,,
CATEGORY,,"3-Assurance",,,,,"fa-file-shield","#f59e0b",,,
CATEGORY,,"3-Logement",,,,,"fa-house","#f97316",,,
CATEGORY,,"4-Charge diverse",,,,,"fa-box-archive","#14b8a6",,,
CATEGORY,,"5-Provision",,,,,"fa-receipt","#ec4899",,,
CATEGORY,,"6-Dons & Aides",,,,,"fa-gift","#14b8a6",,,
CATEGORY,,"Électricité",,,,,"fa-bolt","#fbbf24",,,
CATEGORY,,"Alimentation",,,,,"fa-shopping-basket","#f59e0b",,,
CATEGORY,,"7-Loisirs & Vacances",,,,,"fa-gamepad","#84cc16",,,
CATEGORY,,"Logement",,,,,"fa-home","#3b82f6",,,
CATEGORY,,"Salaire",,,,,"fa-money-bill-wave","#10b981",,,
CATEGORY,,"Abonnements",,,,,"fa-calendar-alt","#8b5cf6",,,
CATEGORY,,"Eau",,,,,"fa-tint","#60a5fa",,,
RECURRING_TEMPLATE,2026-01-01,"Croix Rouges",14,"Compte Principal (CBC)","external","6-Dons & Aides",,,M,2027-01-01,
RECURRING_TEMPLATE,2026-01-01,"Provision Mutualia -  Santé",15,"Compte Principal (CBC)","Depense_Non_Courante(Provision)","5-Provision",,,M,2027-01-01,
RECURRING_TEMPLATE,2026-01-01,"Provision Revenu Cadastrale",125,"Compte Principal (CBC)","Depense_Non_Courante(Provision)","5-Provision",,,M,2027-01-01,
RECURRING_TEMPLATE,2026-01-01,"Dette 30K",478,"Compte Principal (CBC)","external","4-Charge diverse",,,M,2026-03-02,
RECURRING_TEMPLATE,2026-01-01,"Argent de poche",60,"Compte Principal (CBC)","external","4-Charge diverse",,,M,2027-01-01,
RECURRING_TEMPLATE,2026-01-01,"Hygiène",275,"Compte Principal (CBC)","external","4-Charge diverse",,,M,2027-01-01,
RECURRING_TEMPLATE,2026-01-01,"Proximus",52,"Compte Principal (CBC)","external","4-Charge diverse",,,M,2027-01-01,
RECURRING_TEMPLATE,2026-01-01,"Provision Taxes Communales",25,"Compte Principal (CBC)","Depense_Non_Courante(Provision)","5-Provision",,,M,2027-01-01,
RECURRING_TEMPLATE,2026-01-01,"Provision EP PENSION",90,"Compte Principal (CBC)","Depense_Non_Courante(Provision)","5-Provision",,,M,2027-01-01,
RECURRING_TEMPLATE,2026-01-01,"Frais Bancaire BELFIUS",6,"Belfius (Mao)","external","4-Charge diverse",,,M,2027-01-01,
RECURRING_TEMPLATE,2026-01-01,"Provison Tema",30,"Belfius (Fri)","Frial_Cash(Provision)","5-Provision",,,M,2027-01-01,
RECURRING_TEMPLATE,2026-01-01,"LDD (lili)",100,"Compte Principal (CBC)","external","6-Dons & Aides",,,M,2027-01-01,
RECURRING_TEMPLATE,2026-01-01,"Frais divers (prixtel, ...)",10,"Compte Principal (CBC)","external","4-Charge diverse",,,M,2027-01-01,
RECURRING_TEMPLATE,2026-01-01,"Assurance Solde Restant dû",63,"Compte Principal (CBC)","external","3-Assurance",,,M,2027-01-01,
